date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 9",boxscore,STL,None,MON,W,4,0,None,1-1,2, 0.5,Forsch,Rogers,None,1:58,D,"7,469",+,None
"Thursday, Apr 10",boxscore,STL,None,MON,W,7,2,None,2-1,1, Tied,Denny,Murray,Hrabosky,2:00,D,"11,086",++,None
"Friday, Apr 11",boxscore,STL,@,PHI,W,6,3,None,3-1,1, Tied,McGlothen,Twitchell,Hrabosky,2:33,N,"44,834",+++,None
"Saturday, Apr 12",boxscore,STL,@,PHI,W,7,5,None,4-1,1,up 0.5,Garman,Garber,None,2:05,D,"11,101",++++,None
"Sunday, Apr 13",boxscore,STL,@,PHI,L,0,2,None,4-2,2, 0.5,Underwood,Forsch,None,1:45,D,"13,539",-,None
"Wednesday, Apr 16",boxscore,STL,None,NYM,W,3,2,None,5-2,2, 0.5,Denny,Matlack,Garman,2:09,N,"11,691",+,None
"Thursday, Apr 17",boxscore,STL,None,NYM,L,7,14,None,5-3,2, 1.5,Baldwin,Sosa,None,2:49,D,"12,004",-,None
"Friday, Apr 18",boxscore,STL,None,PIT,W-wo,5,4,13,6-3,2, 1.0,Sadecki,McDowell,None,3:31,N,"19,975",+,None
"Saturday, Apr 19",boxscore,STL,None,PIT,L,1,7,None,6-4,2, 2.0,Rooker,Forsch,None,2:07,N,"19,775",-,None
"Sunday, Apr 20",boxscore,STL,None,PIT,L,0,5,None,6-5,2, 1.5,Brett,Denny,Giusti,1:59,D,"20,935",--,None
"Tuesday, Apr 22",boxscore,STL,@,NYM,L,5,9,None,6-6,3, 1.5,Koosman,McGlothen,None,2:37,D,"9,318",---,None
"Wednesday, Apr 23",boxscore,STL,@,NYM,L,1,7,None,6-7,4, 2.5,Seaver,Gibson,None,1:50,D,"14,120",----,None
"Friday, Apr 25",boxscore,STL,@,CHC,L,3,4,None,6-8,4, 4.0,Knowles,Hrabosky,None,2:19,D,"7,466",-----,None
"Saturday, Apr 26",boxscore,STL,@,CHC,L,6,8,None,6-9,4, 5.0,Frailing,Curtis,Zamora,2:40,D,"20,874",------,None
"Tuesday, Apr 29",boxscore,STL,@,PIT,W,3,0,None,7-9,4, 4.0,McGlothen,Brett,None,1:48,N,"6,319",+,None
"Wednesday, Apr 30",boxscore,STL,@,PIT,L,0,5,None,7-10,5, 5.0,Reuss,Gibson,None,1:47,N,"5,584",-,None
"Friday, May 2",boxscore,STL,None,CHC,W,5,1,None,8-10,5, 4.5,Forsch,Reuschel,None,2:21,N,"23,017",+,None
"Saturday, May 3",boxscore,STL,None,CHC,L,3,7,None,8-11,5, 5.5,Bonham,Garman,Knowles,2:42,N,"24,224",-,None
"Sunday, May 4",boxscore,STL,None,CHC,L,6,8,None,8-12,5, 6.5,Zamora,McGlothen,Knowles,2:30,D,"22,980",--,None
"Monday, May 5",boxscore,STL,None,PHI,W,11,3,None,9-12,5, 5.5,Gibson,Carlton,None,2:17,N,"9,198",+,None
"Wednesday, May 7",boxscore,STL,None,PHI,L,1,4,None,9-13,5, 6.0,Twitchell,Forsch,McGraw,2:36,N,"9,735",-,None
"Thursday, May 8",boxscore,STL,None,PHI,L,2,6,None,9-14,5, 6.5,Lonborg,Denny,None,2:16,D,"10,293",--,None
"Friday, May 9",boxscore,STL,None,SFG,W,6,4,None,10-14,5, 6.5,McGlothen,D'Acquisto,Hrabosky,2:37,N,"21,410",+,None
"Saturday, May 10",boxscore,STL,None,SFG,W,9,2,None,11-14,4, 6.5,Curtis,Williams,None,2:13,N,"18,919",++,None
"Sunday, May 11",boxscore,STL,None,SFG,W,4,3,None,12-14,4, 5.5,Forsch,Falcone,Hrabosky,2:16,D,"10,692",+++,None
"Monday, May 12",boxscore,STL,None,LAD,L,4,6,10,12-15,5, 6.0,Brewer,Garman,None,2:45,N,"13,342",-,None
