"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, May 3","None","STL","None","LOU","W",6,4,"None","2-0",1,"None","None","None","None","None",NA,"++","None",1882,0,2,6,4,2,1,0,1,1,NA
"Thursday, May 4","None","STL","None","LOU","W",14,5,"None","3-0",1,"None","None","None","None","None",NA,"+++","None",1882,1,9,20,9,11,2,0,2,1,NA
"Friday, May 5","None","STL","@","LOU","L",1,2,"None","3-1",1,"None","None","None","None","None",NA,"-","None",1882,0.5,-1,21,11,10,2,1,1,0.666666666666667,NA
"Saturday, May 6","None","STL","@","LOU","L",0,3,"None","3-2",1,"None","None","None","None","None",NA,"--","None",1882,0,-3,21,14,7,2,2,0,0.5,NA
"Sunday, May 7","None","STL","@","LOU","L",3,10,"None","3-3",3,"None","None","None","None","None",NA,"---","None",1882,-0.5,-7,24,24,0,2,3,-1,0.4,NA
"Wednesday, May 10","None","STL","@","PIT","L",5,9,"None","3-4",5,"None","None","None","None","None",NA,"----","None",1882,-1.5,-4,29,33,-4,2,4,-2,0.333333333333333,NA
"Wednesday, May 17","None","STL","@","BAL","W",5,3,"None","4-4",2,"None","None","None","None","None",NA,"+","1882-05-16 (Unknown reason)",1882,-2,2,34,36,-2,3,4,-1,0.428571428571429,NA
"Thursday, May 18","None","STL","@","BAL","W",4,3,"None","5-4",2,"None","None","None","None","None",NA,"++","None",1882,-2,1,38,39,-1,4,4,0,0.5,NA
"Friday, May 19","None","STL","@","BAL","W",9,3,"None","6-4",2,"None","None","None","None","None",NA,"+++","None",1882,-1,6,47,42,5,5,4,1,0.555555555555556,NA
"Saturday, May 20","None","STL","@","BAL","W",10,7,"None","7-4",2,"None","None","None","None","None",NA,"++++","None",1882,-0.5,3,57,49,8,6,4,2,0.6,NA
"Tuesday, May 23","None","STL","@","PHA","W",12,8,"None","8-4",1,"None","None","None","None","None",NA,"+++++","None",1882,0.5,4,69,57,12,7,4,3,0.636363636363636,NA
"Wednesday, May 24","None","STL","@","PHA","L",5,16,"None","8-5",2,"None","None","None","None","None",NA,"-","None",1882,-0.5,-11,74,73,1,7,5,2,0.583333333333333,NA
"Friday, May 26","None","STL","@","PHA","L",0,5,"None","8-6",2,"None","None","None","None","None",NA,"--","None",1882,-1.5,-5,74,78,-4,7,6,1,0.538461538461538,NA
"Saturday, May 27","None","STL","@","PHA","W",10,9,"None","9-6",2,"None","None","None","None","None",NA,"+","None",1882,-0.5,1,84,87,-3,8,6,2,0.571428571428571,NA
"Tuesday, May 30","None","STL","@","BAL","W",12,0,"None","10-6",1,"None","None","None","None","None",NA,"++","None",1882,0,12,96,87,9,9,6,3,0.6,NA
"Wednesday, May 31","None","STL","@","BAL","L",1,2,"None","10-7",2,"None","None","None","None","None",NA,"-","None",1882,-1,-1,97,89,8,9,7,2,0.5625,NA
"Thursday, Jun 1","None","STL","@","PIT","L",4,11,"None","10-8",2,"None","None","None","None","None",NA,"--","1882-05-09 (Unknown reason)",1882,-2,-7,101,100,1,9,8,1,0.529411764705882,NA
"Sunday, Jun 4","None","STL","None","PIT","W",7,3,"None","11-8",2,"None","None","None","None","None",NA,"+","1882-06-05 (Unknown reason)",1882,-0.5,4,108,103,5,10,8,2,0.555555555555556,NA
"Tuesday, Jun 6","None","STL","None","PIT","L",6,15,"None","11-9",2,"None","None","None","None","None",NA,"-","None",1882,-2,-9,114,118,-4,10,9,1,0.526315789473684,NA
"Thursday, Jun 8","None","STL","None","PIT","W",6,5,"None","12-9",2,"None","None","None","None","None",NA,"+","None",1882,-1,1,120,123,-3,11,9,2,0.55,NA
"Saturday, Jun 10","None","STL","None","PIT","L",3,9,"None","12-10",3,"None","None","None","None","None",NA,"-","None",1882,-1.5,-6,123,132,-9,11,10,1,0.523809523809524,NA
"Sunday, Jun 11","None","STL","None","BAL","W",7,1,"None","13-10",3,"None","None","None","None","None",NA,"+","1882-06-12 (Unknown reason)",1882,-1,6,130,133,-3,12,10,2,0.545454545454545,NA
"Tuesday, Jun 13","None","STL","None","BAL","W",12,5,"None","14-10",2,"None","None","None","None","None",NA,"++","None",1882,-0.5,7,142,138,4,13,10,3,0.565217391304348,NA
"Thursday, Jun 15","None","STL","None","BAL","W",7,3,"None","15-10",2,"None","None","None","None","None",NA,"+++","None",1882,-0.5,4,149,141,8,14,10,4,0.583333333333333,NA
"Saturday, Jun 17","None","STL","None","BAL","W",10,5,"None","16-10",2,"None","None","None","None","None",NA,"++++","None",1882,-0.5,5,159,146,13,15,10,5,0.6,NA
"Sunday, Jun 18","None","STL","None","PHA","L",2,6,"None","16-11",2,"None","None","None","None","None",NA,"-","1882-06-19 (Unknown reason)",1882,-1,-4,161,152,9,15,11,4,0.576923076923077,NA
"Tuesday, Jun 20","None","STL","None","PHA","W",11,9,"None","17-11",2,"None","None","None","None","None",NA,"+","None",1882,-1,2,172,161,11,16,11,5,0.592592592592593,NA
"Thursday, Jun 22","None","STL","None","PHA","W",10,4,"None","18-11",2,"None","None","None","None","None",NA,"++","None",1882,-1,6,182,165,17,17,11,6,0.607142857142857,NA
"Saturday, Jun 24","None","STL","None","PHA","L",5,7,"None","18-12",2,"None","None","None","None","None",NA,"-","None",1882,-1.5,-2,187,172,15,17,12,5,0.586206896551724,NA
"Sunday, Jun 25","None","STL","None","LOU","W",3,0,"None","19-12",2,"None","None","None","None","None",NA,"+","1882-06-26 (Unknown reason)",1882,-1,3,190,172,18,18,12,6,0.6,NA
"Tuesday, Jun 27","None","STL","None","LOU","W",8,5,"None","20-12",2,"None","None","None","None","None",NA,"++","None",1882,-0.5,3,198,177,21,19,12,7,0.612903225806452,NA
"Thursday, Jun 29","None","STL","None","LOU","*H",0,0,"None","21-12",2,"None","None","None","None","None",NA,"+++","None",1882,-0.5,0,198,177,21,20,13,7,0.606060606060606,NA
"Tuesday, Jul 4","None","STL","None","PIT","L",5,6,"None","21-13",2,"None","None","None","None","None",NA,"-","None",1882,-1.5,-1,203,183,20,20,14,6,0.588235294117647,NA
"Wednesday, Jul 5","None","STL","None","LOU","L",4,7,"None","21-14",2,"None","None","None","None","None",NA,"--","1882-06-30 (Unknown reason)",1882,-2,-3,207,190,17,20,15,5,0.571428571428571,NA
"Thursday, Jul 6","None","STL","None","LOU","W",21,17,"None","22-14",2,"None","None","None","None","None",NA,"+","1882-07-06 (Site change)",1882,-2,4,228,207,21,21,15,6,0.583333333333333,NA
"Friday, Jul 7","None","STL","@","LOU","L",3,8,"None","22-15",2,"None","None","None","None","None",NA,"-","1882-07-05 (Unknown reason)",1882,-3,-5,231,215,16,21,16,5,0.567567567567568,NA
