"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Apr 2","boxscore","TBR","@","BAL","L",6,9,"None","1-1",2,"Walker","Reyes","Sherrill","3:15","N",10505,"-","None",2008,-1,-3,6,9,-3,0,1,0,10505
"Friday, Apr 4","boxscore","TBR","@","NYY","W",13,4,"None","2-1",1,"Sonnanstine","Kennedy","None","3:07","N",49255,"+","None",2008,0,9,19,13,6,1,1,0.5,59760
"Saturday, Apr 5","boxscore","TBR","@","NYY","W",6,3,"None","3-1",1,"Jackson","Pettitte","Percival","3:05","D",52247,"++","None",2008,0,3,25,16,9,2,1,0.666666666666667,112007
"Sunday, Apr 6","boxscore","TBR","@","NYY","L",0,2,"None","3-2",3,"Wang","Shields","Rivera","2:53","D",51279,"-","None",2008,-1,-2,25,18,7,2,2,0.5,163286
"Monday, Apr 7","boxscore","TBR","@","NYY","L",1,6,"None","3-3",4,"Mussina","Hammel","None","2:53","N",41302,"--","None",2008,-2,-5,26,24,2,2,3,0.4,204588
"Tuesday, Apr 8","boxscore","TBR","None","SEA","L",5,6,"None","3-4",5,"Bedard","Glover","Rowland-Smith","3:29","N",36048,"---","None",2008,-3,-1,31,30,1,2,4,0.333333333333333,240636
"Wednesday, Apr 9","boxscore","TBR","None","SEA","L",1,7,"None","3-5",5,"Washburn","Sonnanstine","None","2:29","N",12106,"----","None",2008,-3.5,-6,32,37,-5,2,5,0.285714285714286,252742
"Thursday, Apr 10","boxscore","TBR","None","SEA","W",7,0,"None","4-5",4,"Jackson","Batista","None","2:23","D",11898,"+","None",2008,-2,7,39,37,2,3,5,0.375,264640
"Friday, Apr 11","boxscore","TBR","None","BAL","W",10,5,"None","5-5",3,"Reyes","Sarfate","None","3:15","N",12146,"++","None",2008,-1,5,49,42,7,4,5,0.444444444444444,276786
"Saturday, Apr 12","boxscore","TBR","None","BAL","L",2,3,"None","5-6",5,"Bradford","Wheeler","Sherrill","2:51","N",19295,"-","None",2008,-2,-1,51,45,6,4,6,0.4,296081
"Sunday, Apr 13","boxscore","TBR","None","BAL","W",6,2,"None","6-6",4,"Niemann","Burres","None","2:50","D",16748,"+","None",2008,-1,4,57,47,10,5,6,0.454545454545455,312829
"Monday, Apr 14","boxscore","TBR","None","NYY","L",7,8,"None","6-7",5,"Bruney","Reyes","Rivera","3:05","N",18872,"-","None",2008,-2,-1,64,55,9,5,7,0.416666666666667,331701
"Tuesday, Apr 15","boxscore","TBR","None","NYY","L",3,5,"None","6-8",5,"Pettitte","Jackson","Rivera","3:01","N",20923,"--","None",2008,-2.5,-2,67,60,7,5,8,0.384615384615385,352624
"Wednesday, Apr 16","boxscore","TBR","@","MIN","L",5,6,"None","6-9",5,"Rincon","Wheeler","Nathan","2:49","N",20209,"---","None",2008,-2.5,-1,72,66,6,5,9,0.357142857142857,372833
"Thursday, Apr 17","boxscore","TBR","@","MIN","W",7,3,"None","7-9",5,"Hammel","Bonser","Howell","2:48","N",14781,"+","None",2008,-2.5,4,79,69,10,6,9,0.4,387614
"Friday, Apr 18","boxscore","TBR","None","CHW","L",2,9,"None","7-10",5,"Vazquez","Niemann","None","3:02","N",12379,"-","None",2008,-3.5,-7,81,78,3,6,10,0.375,399993
"Saturday, Apr 19","boxscore","TBR","None","CHW","W",5,0,"None","8-10",5,"Sonnanstine","Buehrle","None","2:02","N",17613,"+","None",2008,-3.5,5,86,78,8,7,10,0.411764705882353,417606
"Sunday, Apr 20","boxscore","TBR","None","CHW","L",0,6,"None","8-11",5,"Danks","Jackson","None","2:34","D",17212,"-","None",2008,-4.5,-6,86,84,2,7,11,0.388888888888889,434818
