"team","var","min_val","max_val"
"TBR","date",Inf,-Inf
"TBR","boxscore",Inf,-Inf
"TBR","team",Inf,-Inf
"TBR","home_or_away",0,0
"TBR","opponent",Inf,-Inf
"TBR","win_or_loss",Inf,-Inf
"TBR","runs",0,16
"TBR","runs_allowed",0,17
"TBR","innings",0,18
"TBR","win_loss_record",Inf,-Inf
"TBR","rank",1,5
"TBR","games_behind",0.5,27
"TBR","win",Inf,-Inf
"TBR","loss",Inf,-Inf
"TBR","save",0,0
"TBR","time",Inf,-Inf
"TBR","day_or_night",Inf,-Inf
"TBR","attendance",0,54279
"TBR","streak",Inf,-Inf
"TBR","originally_scheduled",0,0
"TBR","year",2008,2017
"TBR","games_ahead",-27,6
"TBR","run_diff",-13,15
"TBR","r_so_far",6,7059
"TBR","ra_so_far",9,6552
"TBR","rd_so_far",-5,596
"TBR","wins_so_far",0,851
"TBR","losses_so_far",1,761
"TBR","record_so_far",0,0.666666666666667
"TBR","attendance_so_far",10505,38696341
