date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 6",boxscore,TEX,None,CLE,L,1,5,None,1-1,2, 0.5,Swindell,Witt,None,2:37,D,"13,003",-,None
"Thursday, Apr 7",boxscore,TEX,None,CLE,L,1,4,None,1-2,3, 1.0,Farrell,Guzman,Codiroli,2:38,N,"12,251",--,None
"Friday, Apr 8",boxscore,TEX,None,BOS,L,0,4,None,1-3,5, 2.0,Boyd,Jeffcoat,None,3:15,N,"18,470",---,None
"Saturday, Apr 9",boxscore,TEX,None,BOS,L,1,2,None,1-4,6, 3.0,Clemens,Hough,Smith,3:01,N,"27,527",----,None
"Sunday, Apr 10",boxscore,TEX,None,BOS,W,4,1,None,2-4,6, 2.0,Kilgus,Sellers,Williams,2:36,D,"14,024",+,None
"Tuesday, Apr 12",boxscore,TEX,@,DET,L,1,4,None,2-5,7, 2.0,Tanana,Witt,Henneman,2:34,D,"51,504",-,None
"Thursday, Apr 14",boxscore,TEX,@,DET,W,2,1,None,3-5,5, 2.5,Guzman,Morris,Williams,2:49,D,"11,899",+,None
"Friday, Apr 15",boxscore,TEX,@,BOS,W,3,2,10,4-5,4, 2.0,Hough,Gardner,None,3:03,D,"12,369",++,None
"Saturday, Apr 16",boxscore,TEX,@,BOS,W,2,0,None,5-5,3, 1.0,Kilgus,Ellsworth,Williams,2:45,D,"25,936",+++,None
"Sunday, Apr 17",boxscore,TEX,@,BOS,L,2,15,None,5-6,5, 1.0,Hurst,Jeffcoat,None,3:05,D,"32,243",-,None
"Monday, Apr 18",boxscore,TEX,@,BOS,L-wo,3,4,None,5-7,5, 2.0,Smith,Williams,None,3:00,D,"33,976",--,None
"Tuesday, Apr 19",boxscore,TEX,@,CLE,W,3,0,None,6-7,3, 2.0,Guzman,Bailes,Williams,2:34,N,"5,586",+,None
"Wednesday, Apr 20",boxscore,TEX,@,CLE,L,1,2,None,6-8,3, 2.5,Candiotti,Hough,None,2:23,N,"6,551",-,None
"Friday, Apr 22",boxscore,TEX,None,DET,L,3,5,None,6-9,5, 3.0,Alexander,Kilgus,Henneman,2:52,N,"23,443",--,None
"Saturday, Apr 23",boxscore,TEX,None,DET,L,6,7,None,6-10,6, 4.0,Tanana,Witt,Henneman,3:06,N,"34,890",---,None
"Sunday, Apr 24",boxscore,TEX,None,DET,W,4,2,None,7-10,5, 4.0,Hough,Morris,Williams,2:33,D,"29,543",+,None
"Tuesday, Apr 26",boxscore,TEX,None,MIL,W,3,1,None,8-10,4, 4.0,Guzman,Bosio,None,2:06,N,"27,941",++,None
"Wednesday, Apr 27",boxscore,TEX,None,MIL,L,3,4,None,8-11,4, 5.0,Nieves,Kilgus,Plesac,2:52,N,"12,216",-,None
"Friday, Apr 29",boxscore,TEX,@,NYY,L,1,2,None,8-12,5, 6.0,Candelaria,Hough,None,2:34,N,"20,277",--,None
"Saturday, Apr 30",boxscore,TEX,@,NYY,L,3,15,None,8-13,6, 7.0,Dotson,Witt,None,3:04,N,"21,011",---,None
"Sunday, May 1",boxscore,TEX,@,NYY,W,5,1,None,9-13,4, 7.0,Kilgus,Leiter,Mohorcic,3:09,D,"40,268",+,None
"Monday, May 2",boxscore,TEX,@,BAL,L,4,9,None,9-14,5, 8.0,Tibbs,Guzman,None,3:16,N,"50,402",-,None
"Tuesday, May 3",boxscore,TEX,@,BAL,W,4,2,None,10-14,4, 8.0,Hayward,Boddicker,Mohorcic,3:09,N,"11,507",+,None
"Wednesday, May 4",boxscore,TEX,@,MIL,L,5,6,None,10-15,5, 9.0,Birkbeck,Hough,Plesac,3:11,N,"7,541",-,None
"Thursday, May 5",boxscore,TEX,@,MIL,L,1,9,None,10-16,5, 10.0,Wegman,Witt,None,2:26,D,"12,387",--,None
"Friday, May 6",boxscore,TEX,None,NYY,W,7,6,None,11-16,5, 9.5,Kilgus,Leiter,Cecena,2:54,N,"25,602",+,None
"Saturday, May 7",boxscore,TEX,None,NYY,W-wo,3,2,None,12-16,5, 9.5,Mohorcic,Guante,None,3:09,N,"33,611",++,None
"Sunday, May 8",boxscore,TEX,None,NYY,W,10,8,None,13-16,4, 9.5,Russell,Shields,Mohorcic,3:09,D,"21,761",+++,None
"Tuesday, May 10",boxscore,TEX,None,BAL,W,13,5,None,14-16,3, 9.0,Hough,Thurmond,None,2:50,N,"17,869",++++,None
"Wednesday, May 11",boxscore,TEX,None,BAL,W,8,0,None,15-16,2, 8.0,Kilgus,Williamson,None,2:19,N,"12,027",+++++,None
"Thursday, May 12",boxscore,TEX,None,BAL,W,2,1,None,16-16,2, 7.5,Guzman,Bautista,Williams,2:51,N,"9,964",++++++,None
"Friday, May 13",boxscore,TEX,None,KCR,W,2,1,None,17-16,2, 6.5,Hayward,Saberhagen,Williams,2:13,N,"21,898",+++++++,None
"Saturday, May 14",boxscore,TEX,None,KCR,W,6,3,None,18-16,2, 6.5,Russell,Leibrandt,Williams,2:44,N,"31,251",++++++++,None
"Sunday, May 15",boxscore,TEX,None,KCR,L,4,5,None,18-17,3, 7.5,Gubicza,Hough,Garber,3:25,D,"30,438",-,None
"Monday, May 16",boxscore,TEX,None,KCR,L,6,7,None,18-18,3, 8.5,Bannister,Kilgus,Farr,2:52,N,"15,532",--,None
"Tuesday, May 17",boxscore,TEX,@,TOR,W,7,6,14,19-18,2, 8.5,Mohorcic,Eichhorn,None,5:20,N,"25,170",+,None
"Wednesday, May 18",boxscore,TEX,@,TOR,W,4,0,None,20-18,2, 7.5,Hayward,Stottlemyre,None,2:31,N,"25,029",++,None
"Saturday, May 21",boxscore,TEX,None,MIN,W,3,0,None,21-18,2, 7.0,Kilgus,Blyleven,None,2:19,N,"31,332",+++,None
"Sunday, May 22",boxscore,TEX,None,MIN,L,5,15,None,21-19,2, 7.5,Straker,Hough,None,3:04,D,None,-,None
"Sunday, May 22",boxscore,TEX,None,MIN,L,2,4,None,21-20,2, 7.5,Viola,Guzman,Reardon,2:46,N,"19,018",--,1988-05-20 (Rain)
"Tuesday, May 24",boxscore,TEX,None,TOR,L,2,13,None,21-21,2, 8.0,Cerutti,Hayward,Henke,3:17,N,"26,408",---,None
"Wednesday, May 25",boxscore,TEX,None,TOR,W,5,1,None,22-21,2, 8.0,Russell,Clancy,Mohorcic,2:42,N,"13,528",+,None
"Thursday, May 26",boxscore,TEX,None,TOR,W-wo,8,7,None,23-21,2, 7.5,Williams,Henke,None,3:29,N,"13,035",++,None
"Friday, May 27",boxscore,TEX,@,KCR,W,3,2,None,24-21,2, 7.5,Guzman,Bannister,None,3:04,N,"24,045",+++,None
"Saturday, May 28",boxscore,TEX,@,KCR,L,6,8,None,24-22,2, 8.5,Black,Mohorcic,Gleaton,3:10,N,"37,802",-,None
"Sunday, May 29",boxscore,TEX,@,KCR,L,1,12,None,24-23,3, 9.5,Saberhagen,Hayward,None,2:44,D,"31,118",--,None
"Monday, May 30",boxscore,TEX,@,MIN,W,6,1,None,25-23,2, 9.5,Russell,Blyleven,None,2:46,D,"40,300",+,None
"Tuesday, May 31",boxscore,TEX,@,MIN,L,6,8,None,25-24,3, 9.5,Berenguer,Mohorcic,Reardon,3:39,N,"15,151",-,None
"Wednesday, Jun 1",boxscore,TEX,@,MIN,L,1,7,None,25-25,3, 10.5,Viola,Guzman,None,2:38,N,"22,361",--,None
"Thursday, Jun 2",boxscore,TEX,@,CHW,W,10,2,None,26-25,3, 10.0,Hough,Perez,None,3:16,N,"8,400",+,None
"Friday, Jun 3",boxscore,TEX,@,CHW,W,9,3,None,27-25,2, 10.0,Hayward,LaPoint,None,3:00,N,"11,062",++,None
"Saturday, Jun 4",boxscore,TEX,@,CHW,L-wo,8,10,None,27-26,2, 11.0,Thigpen,Mohorcic,None,3:31,N,"17,101",-,None
"Sunday, Jun 5",boxscore,TEX,@,CHW,L,4,5,None,27-27,3, 11.0,Reuss,Kilgus,Thigpen,2:59,D,"16,399",--,None
"Monday, Jun 6",boxscore,TEX,None,CAL,W,6,4,None,28-27,3, 10.0,Guzman,Fraser,None,3:05,N,"23,469",+,None
"Tuesday, Jun 7",boxscore,TEX,None,CAL,L,0,1,None,28-28,4, 10.0,Finley,Hough,Harvey,2:31,N,"22,549",-,None
"Wednesday, Jun 8",boxscore,TEX,None,CAL,L,2,5,None,28-29,4, 10.0,Witt,Hayward,Harvey,2:53,N,"11,879",--,None
"Thursday, Jun 9",boxscore,TEX,None,OAK,W,5,2,None,29-29,4, 9.0,Russell,Davis,None,2:35,N,"31,435",+,None
