"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Sunday, Apr 16","boxscore","TEX","@","CAL","W",5,1,"None","1-1",2,"Broberg","Wright","Pina","2:27","D",6556,"+","None",1972,-1.5,4,5,1,4,1,0,1,1,6556
"Tuesday, Apr 18","boxscore","TEX","@","CHW","L",0,14,"None","1-2",4,"Wood","Gogolewski","None","2:19","N",20943,"-","None",1972,-1.5,-14,5,15,-10,1,1,0,0.5,27499
"Wednesday, Apr 19","boxscore","TEX","@","CHW","L-wo",1,2,"None","1-3",6,"Bahnsen","Lindblad","None","2:23","D",3199,"--","None",1972,-2.5,-1,6,17,-11,1,2,-1,0.333333333333333,30698
"Friday, Apr 21","boxscore","TEX","None","CAL","W",7,6,"None","2-3",4,"Bosman","Wright","Lindblad","2:44","N",20105,"+","None",1972,-2,1,13,23,-10,2,2,0,0.5,50803
"Saturday, Apr 22","boxscore","TEX","None","CAL","W",5,0,"None","3-3",3,"Broberg","Clark","None","2:34","D",5517,"++","None",1972,-1.5,5,18,23,-5,3,2,1,0.6,56320
"Sunday, Apr 23","boxscore","TEX","None","CAL","W",5,2,"None","4-3",3,"Panther","Ryan","Pina","2:28","D",11586,"+++","None",1972,-0.5,3,23,25,-2,4,2,2,0.666666666666667,67906
"Monday, Apr 24","boxscore","TEX","None","CAL","W",6,4,"None","5-3",1,"Lindblad","Messersmith","None","2:28","N",5561,"++++","None",1972,0,2,29,29,0,5,2,3,0.714285714285714,73467
"Tuesday, Apr 25","boxscore","TEX","None","DET","L",1,4,"None","5-4",4,"Lolich","Paul","None","2:30","N",10213,"-","None",1972,-1,-3,30,33,-3,5,3,2,0.625,83680
"Wednesday, Apr 26","boxscore","TEX","None","DET","L",1,8,"None","5-5",4,"Coleman","Bosman","None","2:32","N",4283,"--","None",1972,-2,-7,31,41,-10,5,4,1,0.555555555555556,87963
"Friday, Apr 28","boxscore","TEX","None","BOS","W",9,6,"None","6-5",4,"Lindblad","Lee","Pina","3:01","N",9974,"+","None",1972,-1.5,3,40,47,-7,6,4,2,0.6,97937
"Saturday, Apr 29","boxscore","TEX","None","BOS","W-wo",7,6,"None","7-5",3,"Cox","Bolin","None","3:19","D",9531,"++","None",1972,-1.5,1,47,53,-6,7,4,3,0.636363636363636,107468
"Sunday, Apr 30","boxscore","TEX","None","BOS","L",0,3,"10","7-6",4,"Krausse","Panther","Lee","2:05","D",8556,"-","None",1972,-2,-3,47,56,-9,7,5,2,0.583333333333333,116024
"Tuesday, May 2","boxscore","TEX","None","CLE","L",2,4,"None","7-7",4,"Perry","Bosman","Mingori","2:38","N",6570,"--","None",1972,-2.5,-2,49,60,-11,7,6,1,0.538461538461538,122594
"Wednesday, May 3","boxscore","TEX","None","CLE","L",1,2,"None","7-8",4,"Wilcox","Broberg","None","2:30","N",5859,"---","None",1972,-3.5,-1,50,62,-12,7,7,0,0.5,128453
"Friday, May 5","boxscore","TEX","@","DET","W",2,1,"None","8-8",4,"Gogolewski","Coleman","Pina","2:50","N",15115,"+","None",1972,-3.5,1,52,63,-11,8,7,1,0.533333333333333,143568
"Saturday, May 6","boxscore","TEX","@","DET","L",1,4,"None","8-9",4,"Timmermann","Hand","Scherman","2:20","D",11710,"-","None",1972,-4.5,-3,53,67,-14,8,8,0,0.5,155278
"Sunday, May 7","boxscore","TEX","@","DET","L",4,7,"None","8-10",4,"Lolich","Bosman","None","2:58","D",9855,"--","None",1972,-5.5,-3,57,74,-17,8,9,-1,0.470588235294118,165133
"Wednesday, May 10","boxscore","TEX","@","BAL","L-wo",0,1,"None","8-11",4,"McNally","Broberg","None","2:00","N",6617,"---","None",1972,-6.5,-1,57,75,-18,8,10,-2,0.444444444444444,171750
"Thursday, May 11","boxscore","TEX","@","BAL","W",3,1,"None","9-11",4,"Gogolewski","Palmer","Cox","2:22","N",6040,"+","None",1972,-6,2,60,76,-16,9,10,-1,0.473684210526316,177790
"Friday, May 12","boxscore","TEX","@","CLE","W",3,1,"None","10-11",4,"Bosman","Wilcox","Pina","2:34","N",15543,"++","None",1972,-5,2,63,77,-14,10,10,0,0.5,193333
"Saturday, May 13","boxscore","TEX","@","CLE","L",3,7,"None","10-12",4,"Tidrow","Hand","Mingori","2:20","D",14510,"-","None",1972,-6,-4,66,84,-18,10,11,-1,0.476190476190476,207843
"Sunday, May 14","boxscore","TEX","@","CLE","L-wo",3,4,"10","10-13",4,"Perry","Gogolewski","None","2:31","D",9152,"--","None",1972,-7,-1,69,88,-19,10,12,-2,0.454545454545455,216995
"Monday, May 15","boxscore","TEX","@","KCR","L",4,5,"None","10-14",4,"Burgmeier","Pina","None","2:35","N",6670,"---","None",1972,-7,-1,73,93,-20,10,13,-3,0.434782608695652,223665
"Tuesday, May 16","boxscore","TEX","@","KCR","L",0,5,"None","10-15",5,"Rooker","Hand","None","2:19","N",6872,"----","None",1972,-7,-5,73,98,-25,10,14,-4,0.416666666666667,230537
"Wednesday, May 17","boxscore","TEX","@","KCR","W",4,3,"18","11-15",4,"Panther","Abernathy","None","4:56","N",7114,"+","None",1972,-7,1,77,101,-24,11,14,-3,0.44,237651
"Friday, May 19","boxscore","TEX","None","MIN","W",2,1,"None","12-15",4,"Gogolewski","Kaat","None","2:06","N",18902,"++","None",1972,-6,1,79,102,-23,12,14,-2,0.461538461538462,256553
"Saturday, May 20","boxscore","TEX","None","MIN","W",5,1,"None","13-15",4,"Broberg","Perry","Paul","2:26","D",12016,"+++","None",1972,-5,4,84,103,-19,13,14,-1,0.481481481481481,268569
"Sunday, May 21","boxscore","TEX","None","MIN","W",5,2,"None","14-15",4,"Panther","Blyleven","Lindblad","2:34","D",NA,"++++","None",1972,-4,3,89,105,-16,14,14,0,0.5,NA
"Sunday, May 21","boxscore","TEX","None","MIN","W",3,1,"None","15-15",4,"Shellenback","Woodson","Pina","2:13","D",13440,"+++++","None",1972,-4,2,92,106,-14,15,14,1,0.517241379310345,NA
"Monday, May 22","boxscore","TEX","None","CHW","L",6,7,"10","15-16",4,"Romo","Lindblad","None","3:00","N",8431,"-","None",1972,-5,-1,98,113,-15,15,15,0,0.5,NA
"Tuesday, May 23","boxscore","TEX","None","CHW","L",1,2,"None","15-17",4,"Bahnsen","Janeski","Kealey","2:21","N",7815,"--","None",1972,-6,-1,99,115,-16,15,16,-1,0.483870967741935,NA
"Wednesday, May 24","boxscore","TEX","None","CHW","L",1,5,"None","15-18",4,"Bradley","Gogolewski","None","2:17","N",9218,"---","None",1972,-7,-4,100,120,-20,15,17,-2,0.46875,NA
"Thursday, May 25","boxscore","TEX","@","MIN","L",5,6,"None","15-19",4,"Granger","Paul","None","2:31","N",8781,"----","None",1972,-7.5,-1,105,126,-21,15,18,-3,0.454545454545455,NA
"Friday, May 26","boxscore","TEX","@","MIN","L",0,7,"None","15-20",4,"Blyleven","Shellenback","None","2:20","N",7383,"-----","None",1972,-7.5,-7,105,133,-28,15,19,-4,0.441176470588235,NA
"Saturday, May 27","boxscore","TEX","@","MIN","W",16,2,"None","16-20",4,"Bosman","Woodson","Lindblad","2:51","D",9477,"+","None",1972,-7,14,121,135,-14,16,19,-3,0.457142857142857,NA
"Sunday, May 28","boxscore","TEX","@","MIN","L",2,7,"None","16-21",4,"Kaat","Gogolewski","None","2:23","D",9132,"-","None",1972,-8,-5,123,142,-19,16,20,-4,0.444444444444444,NA
"Monday, May 29","boxscore","TEX","None","OAK","L",1,4,"None","16-22",4,"Horlen","Broberg","None","2:14","N",NA,"--","None",1972,-10,-3,124,146,-22,16,21,-5,0.432432432432432,NA
"Monday, May 29","boxscore","TEX","None","OAK","L",1,7,"None","16-23",4,"Hamilton","Shellenback","Fingers","2:17","N",16207,"---","None",1972,-10,-6,125,153,-28,16,22,-6,0.421052631578947,NA
"Tuesday, May 30","boxscore","TEX","None","OAK","W",3,2,"None","17-23",4,"Hand","Holtzman","Pina","2:11","N",6875,"+","None",1972,-9,1,128,155,-27,17,22,-5,0.435897435897436,NA
"Wednesday, May 31","boxscore","TEX","None","OAK","L",1,5,"None","17-24",5,"Hunter","Bosman","None","2:35","N",12251,"-","None",1972,-10,-4,129,160,-31,17,23,-6,0.425,NA
"Friday, Jun 2","boxscore","TEX","@","MIL","L",5,7,"None","17-25",5,"Lonborg","Gogolewski","Linzy","2:16","N",9724,"--","None",1972,-10,-2,134,167,-33,17,24,-7,0.414634146341463,NA
"Saturday, Jun 3","boxscore","TEX","@","MIL","L",1,3,"None","17-26",6,"Parsons","Broberg","None","2:16","D",8337,"---","None",1972,-11,-2,135,170,-35,17,25,-8,0.404761904761905,NA
"Sunday, Jun 4","boxscore","TEX","@","MIL","W",10,0,"None","18-26",5,"Hand","Lockwood","Pina","2:52","D",11472,"+","None",1972,-11.5,10,145,170,-25,18,25,-7,0.418604651162791,NA
"Tuesday, Jun 6","boxscore","TEX","None","NYY","W",6,3,"None","19-26",5,"Bosman","Peterson","Lindblad","2:15","N",12865,"++","None",1972,-12,3,151,173,-22,19,25,-6,0.431818181818182,NA
"Wednesday, Jun 7","boxscore","TEX","None","NYY","L",5,7,"None","19-27",6,"Kline","Shellenback","Lyle","2:45","N",12220,"-","None",1972,-13,-2,156,180,-24,19,26,-7,0.422222222222222,NA
"Thursday, Jun 8","boxscore","TEX","None","NYY","W",6,2,"None","20-27",5,"Broberg","Stottlemyre","Lindblad","2:41","N",11897,"+","None",1972,-12.5,4,162,182,-20,20,26,-6,0.434782608695652,NA
"Friday, Jun 9","boxscore","TEX","None","BAL","L",2,7,"None","20-28",6,"Cuellar","Hand","None","2:40","N",12471,"-","None",1972,-13.5,-5,164,189,-25,20,27,-7,0.425531914893617,NA
"Saturday, Jun 10","boxscore","TEX","None","BAL","L",2,5,"None","20-29",6,"McNally","Gogolewski","None","2:13","N",16898,"--","None",1972,-14.5,-3,166,194,-28,20,28,-8,0.416666666666667,NA
"Sunday, Jun 11","boxscore","TEX","None","BAL","L",1,3,"None","20-30",6,"Palmer","Pina","None","2:15","D",20078,"---","None",1972,-14.5,-2,167,197,-30,20,29,-9,0.408163265306122,NA
