date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 3",boxscore,TOR,@,OAK,W,10,4,None,2-0,1, Tied,Hentgen,Prieto,None,3:12,N,"8,050",++,1996-04-03 (Renovations at OAK; Played at LVN; OAK home team)
"Friday, Apr 5",boxscore,TOR,@,CLE,W,7,1,None,3-0,2, 0.5,Guzman,Hershiser,None,2:49,N,"41,782",+++,None
"Saturday, Apr 6",boxscore,TOR,@,CLE,L,3,5,None,3-1,2, 0.5,Nagy,Hanson,Mesa,2:57,D,"41,852",-,None
"Sunday, Apr 7",boxscore,TOR,@,CLE,L,3,8,None,3-2,2, 1.5,Martinez,Quantrill,None,2:29,D,"41,689",--,None
"Tuesday, Apr 9",boxscore,TOR,None,CAL,W,5,0,None,4-2,2, 1.0,Hentgen,Langston,None,2:27,D,"36,616",+,None
"Wednesday, Apr 10",boxscore,TOR,None,CAL,L,1,2,None,4-3,2, 2.0,Holzemer,Guzman,Percival,2:24,N,"25,446",-,None
"Thursday, Apr 11",boxscore,TOR,None,CAL,W,7,4,None,5-3,2, 2.0,Hanson,Abbott,Timlin,2:46,N,"25,512",+,None
"Friday, Apr 12",boxscore,TOR,None,SEA,L,6,9,None,5-4,3, 3.0,Hitchcock,Quantrill,None,3:11,N,"31,293",-,None
"Saturday, Apr 13",boxscore,TOR,None,SEA,L,3,14,None,5-5,3, 4.0,Bosio,Ware,None,2:58,D,"33,645",--,None
"Sunday, Apr 14",boxscore,TOR,None,SEA,L,4,9,None,5-6,4, 4.0,Wolcott,Hentgen,None,2:17,D,"29,301",---,None
"Monday, Apr 15",boxscore,TOR,None,DET,W,8,2,None,6-6,3, 3.5,Guzman,Olivares,None,2:37,N,"26,127",+,None
"Tuesday, Apr 16",boxscore,TOR,None,DET,L,8,13,None,6-7,4, 4.5,Gohr,Hanson,Lewis,3:12,D,"25,503",-,None
"Wednesday, Apr 17",boxscore,TOR,@,CAL,L,1,5,None,6-8,4, 5.5,Finley,Quantrill,None,2:31,N,"15,361",--,None
"Thursday, Apr 18",boxscore,TOR,@,CAL,L,6,9,None,6-9,4, 5.5,James,Ware,Percival,3:01,N,"25,083",---,None
"Friday, Apr 19",boxscore,TOR,@,SEA,W,10,4,None,7-9,3, 4.5,Hentgen,Wolcott,Bohanon,2:59,N,"32,189",+,None
"Saturday, Apr 20",boxscore,TOR,@,SEA,W,3,1,None,8-9,3, 3.5,Guzman,Menhart,Timlin,2:41,N,"47,487",++,None
"Sunday, Apr 21",boxscore,TOR,@,SEA,L,5,9,None,8-10,3, 3.5,Johnson,Hanson,None,2:43,D,"34,915",-,None
"Monday, Apr 22",boxscore,TOR,@,SEA,W,16,7,None,9-10,3, 2.5,Castillo,Hurtado,None,3:09,N,"18,467",+,None
"Wednesday, Apr 24",boxscore,TOR,None,OAK,L,6,7,None,9-11,3, 3.0,Prieto,Hentgen,Corsi,3:12,N,"28,029",-,None
"Thursday, Apr 25",boxscore,TOR,None,OAK,L,3,4,11,9-12,3, 4.0,Mohler,Crabtree,None,3:08,N,"26,163",--,None
"Friday, Apr 26",boxscore,TOR,None,CLE,L,3,6,None,9-13,3, 4.0,Hershiser,Hanson,Mesa,2:30,N,"30,227",---,None
"Saturday, Apr 27",boxscore,TOR,None,CLE,W,11,6,None,10-13,3, 3.0,Castillo,Nagy,None,3:19,D,"40,140",+,None
"Sunday, Apr 28",boxscore,TOR,None,CLE,L,3,17,None,10-14,3, 3.0,Lopez,Viola,None,3:07,D,"31,143",-,None
"Tuesday, Apr 30",boxscore,TOR,None,MIL,W-wo,9,8,None,11-14,3, 3.0,Crabtree,Boze,None,3:22,N,"25,467",+,None
"Wednesday, May 1",boxscore,TOR,None,MIL,W,9,3,None,12-14,3, 3.0,Guzman,Miranda,None,2:27,N,"25,684",++,None
