"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Saturday, Apr 9","boxscore","TOR","None","CHW","L",2,3,"None","1-1",2,"Knapp","Lemanczyk","LaGrow","2:22","D",18214,"-","None",1977,-0.5,-1,2,3,-1,0,1,0,18214
"Sunday, Apr 10","boxscore","TOR","None","CHW","W",3,1,"None","2-1",2,"Garvin","Stone","Vuckovich","2:21","D",17059,"+","None",1977,-0.5,2,5,4,1,1,1,0.5,35273
"Monday, Apr 11","boxscore","TOR","None","DET","W",5,3,"None","3-1",1,"Hargan","Hiller","None","2:09","D",29132,"++","None",1977,0.5,2,10,7,3,2,1,0.666666666666667,64405
"Tuesday, Apr 12","boxscore","TOR","None","DET","L",1,6,"None","3-2",1,"Roberts","Singer","None","2:19","D",11505,"-","None",1977,0,-5,11,13,-2,2,2,0.5,75910
"Wednesday, Apr 13","boxscore","TOR","None","DET","W",7,6,"None","4-2",1,"Lemanczyk","Arroyo","Willis","2:27","D",12113,"+","None",1977,0,1,18,19,-1,3,2,0.6,88023
"Thursday, Apr 14","boxscore","TOR","None","DET","W",5,3,"None","5-2",1,"Garvin","Hiller","None","2:05","D",13369,"++","None",1977,0.5,2,23,22,1,4,2,0.666666666666667,101392
"Friday, Apr 15","boxscore","TOR","@","CHW","L",5,7,"None","5-3",1,"Barrios","Johnson","None","2:30","N",10840,"-","None",1977,0,-2,28,29,-1,4,3,0.571428571428571,112232
"Saturday, Apr 16","boxscore","TOR","@","CHW","L-wo",2,3,"None","5-4",2,"Stone","Vuckovich","None","2:10","D",7467,"--","None",1977,-1,-1,30,32,-2,4,4,0.5,119699
"Sunday, Apr 17","boxscore","TOR","@","CHW","L",2,4,"None","5-5",3,"Brett","Singer","Dal Canton","1:55","D",14583,"---","None",1977,-2,-2,32,36,-4,4,5,0.444444444444444,134282
"Monday, Apr 18","boxscore","TOR","@","NYY","W",5,1,"None","6-5",2,"Lemanczyk","Figueroa","None","2:15","D",9685,"+","None",1977,-1.5,4,37,37,0,5,5,0.5,143967
"Tuesday, Apr 19","boxscore","TOR","@","NYY","&H",8,3,"None","7-5",2,"Garvin","Patterson","None","2:27","D",9954,"++","None",1977,-1.5,5,45,40,5,6,6,0.5,153921
"Wednesday, Apr 20","boxscore","TOR","@","NYY","L",5,7,"None","7-6",3,"Gullett","Hargan","Lyle","2:41","D",10819,"-","None",1977,-1.5,-2,50,47,3,6,7,0.461538461538462,164740
"Thursday, Apr 21","boxscore","TOR","@","NYY","L",6,8,"None","7-7",3,"Holtzman","Hartenstein","Lyle","2:23","D",10502,"--","None",1977,-2,-2,56,55,1,6,8,0.428571428571429,175242
"Sunday, Apr 24","boxscore","TOR","None","BOS","L",0,9,"None","7-8",3,"Jenkins","Singer","None","2:24","D",29303,"---","None",1977,-3,-9,56,64,-8,6,9,0.4,204545
"Monday, Apr 25","boxscore","TOR","None","BOS","W",4,3,"None","8-8",4,"Vuckovich","Campbell","None","2:25","D",NA,"+","None",1977,-3,1,60,67,-7,7,9,0.4375,NA
"Monday, Apr 25","boxscore","TOR","None","BOS","L",5,6,"None","8-9",4,"Willoughby","Vuckovich","None","2:38","D",15016,"-","1977-04-22 (Rain)",1977,-3,-1,65,73,-8,7,10,0.411764705882353,NA
"Wednesday, Apr 27","boxscore","TOR","@","CLE","W",6,5,"12","9-9",3,"Willis","Kern","None","3:17","N",3639,"+","None",1977,-2.5,1,71,78,-7,8,10,0.444444444444444,NA
"Thursday, Apr 28","boxscore","TOR","@","CLE","L",3,4,"None","9-10",4,"Fitzmorris","Jefferson","Waits","2:26","N",2724,"-","1977-04-26 (Wet grounds)",1977,-3,-1,74,82,-8,8,11,0.421052631578947,NA
"Friday, Apr 29","boxscore","TOR","@","KCR","L",1,6,"None","9-11",5,"Colborn","Singer","None","2:27","N",15523,"--","None",1977,-4,-5,75,88,-13,8,12,0.4,NA
"Saturday, Apr 30","boxscore","TOR","@","KCR","W",2,1,"None","10-11",5,"Garvin","Splittorff","None","2:11","N",15301,"+","None",1977,-3,1,77,89,-12,9,12,0.428571428571429,NA
"Sunday, May 1","boxscore","TOR","@","KCR","L",2,8,"None","10-12",5,"Gura","Lemanczyk","Littell","2:24","D",34066,"-","None",1977,-3.5,-6,79,97,-18,9,13,0.409090909090909,NA
