"team","var","min_val","max_val"
"TOR","date",Inf,-Inf
"TOR","boxscore",Inf,-Inf
"TOR","team",Inf,-Inf
"TOR","home_or_away",0,0
"TOR","opponent",Inf,-Inf
"TOR","win_or_loss",Inf,-Inf
"TOR","runs",0,24
"TOR","runs_allowed",0,24
"TOR","innings",0,19
"TOR","win_loss_record",Inf,-Inf
"TOR","rank",1,7
"TOR","games_behind",0.5,51
"TOR","win",0,0
"TOR","loss",0,0
"TOR","save",0,0
"TOR","time",Inf,-Inf
"TOR","day_or_night",Inf,-Inf
"TOR","attendance",0,61753
"TOR","streak",Inf,-Inf
"TOR","originally_scheduled",0,0
"TOR","year",1977,2017
"TOR","games_ahead",-51,9.5
"TOR","run_diff",-22,17
"TOR","r_so_far",2,29964
"TOR","ra_so_far",3,29630
"TOR","rd_so_far",-961,437
"TOR","wins_so_far",0,3225
"TOR","losses_so_far",1,3260
"TOR","record_so_far",0,0.666666666666667
"TOR","attendance_so_far",18214,177947095
