"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Wednesday, Apr 6","boxscore","WSN","@","PHI","W","7","3","None","1-1","1"," Tied","Eischen","Worrell","None","2:39","N","23,435","+","None",2005
"Thursday, Apr 7","boxscore","WSN","@","PHI","W","5","4","10","2-1","1"," Tied","Cordero","Cormier","None","2:53","D","21,693","++","None",2005
"Friday, Apr 8","boxscore","WSN","@","FLA","L","0","9","None","2-2","2"," 1.0","Willis","Ohka","None","2:23","N","19,327","-","None",2005
"Saturday, Apr 9","boxscore","WSN","@","FLA","W","3","2","10","3-2","2"," 1.0","Cordero","Alfonseca","None","2:45","N","30,739","+","None",2005
"Sunday, Apr 10","boxscore","WSN","@","FLA","L","0","8","None","3-3","2"," 1.0","Beckett","Patterson","None","2:29","D","25,089","-","None",2005
"Monday, Apr 11","boxscore","WSN","@","ATL","L","2","11","None","3-4","3"," 2.0","Hampton","Day","None","2:31","N","16,584","--","None",2005
"Tuesday, Apr 12","boxscore","WSN","@","ATL","W","4","3","None","4-4","2"," 1.0","Ayala","Kolb","Cordero","2:26","N","20,122","+","None",2005
"Wednesday, Apr 13","boxscore","WSN","@","ATL","W","11","4","None","5-4","1"," Tied","Ohka","Thomson","None","2:57","D","19,093","++","None",2005
"Thursday, Apr 14","boxscore","WSN","None","ARI","W","5","3","None","6-4","1","up 0.5","Hernandez","Vazquez","Cordero","2:33","N","45,596","+++","None",2005
"Saturday, Apr 16","boxscore","WSN","None","ARI","W","9","3","None","7-4","1","up 1.0","Patterson","Ortiz","None","2:54","N","34,943","++++","None",2005
"Sunday, Apr 17","boxscore","WSN","None","ARI","W","7","3","None","8-4","1","up 2.0","Tucker","Koplove","None","2:55","D","35,463","+++++","None",2005
"Monday, Apr 18","boxscore","WSN","None","FLA","L","4","9","None","8-5","1","up 1.0","Willis","Ohka","None","2:59","N","24,003","-","None",2005
"Tuesday, Apr 19","boxscore","WSN","None","FLA","L","3","6","None","8-6","1"," Tied","Moehler","Hernandez","None","2:50","N","25,990","--","None",2005
"Wednesday, Apr 20","boxscore","WSN","None","ATL","W","2","0","None","9-6","1"," Tied","Day","Ramirez","Cordero","2:40","N","27,374","+","None",2005
"Thursday, Apr 21","boxscore","WSN","None","ATL","L","1","2","None","9-7","1"," Tied","Reitsma","Cordero","Kolb","2:51","D","30,728","-","None",2005
"Friday, Apr 22","boxscore","WSN","@","NYM","L","1","3","None","9-8","2"," 1.0","Glavine","Loaiza","Looper","2:44","N","28,488","--","None",2005
"Saturday, Apr 23","boxscore","WSN","@","NYM","L","5","10","None","9-9","4"," 2.0","Seo","Ohka","None","3:24","D","44,058","---","None",2005
"Sunday, Apr 24","boxscore","WSN","@","NYM","W","11","4","None","10-9","3"," 1.0","Hernandez","Zambrano","None","3:19","D","43,313","+","None",2005
"Monday, Apr 25","boxscore","WSN","None","PHI","L","4","5","None","10-10","4"," 1.5","Lidle","Day","Wagner","3:07","N","24,956","-","None",2005
"Tuesday, Apr 26","boxscore","WSN","None","PHI","W","3","1","None","11-10","3"," 1.5","Patterson","Lieber","Cordero","2:39","N","23,332","+","None",2005
"Wednesday, Apr 27","boxscore","WSN","None","PHI","L","0","3","None","11-11","3"," 2.0","Cormier","Loaiza","Wagner","2:33","D","27,483","-","None",2005
"Friday, Apr 29","boxscore","WSN","None","NYM","W","5","1","None","12-11","3"," 2.0","Hernandez","Seo","Cordero","2:41","N","30,627","+","None",2005
"Saturday, Apr 30","boxscore","WSN","None","NYM","&V","5","3","8","13-11","3"," 2.0","Ohka","Zambrano","Carrasco","2:31","N","40,913","++","None",2005
"Sunday, May 1","boxscore","WSN","None","NYM","L","3","6","None","13-12","3"," 2.0","Hernandez","Ayala","Looper","3:23","N","27,333","-","None",2005
"Monday, May 2","boxscore","WSN","@","LAD","W","6","2","None","14-12","3"," 1.5","Loaiza","Erickson","None","2:43","N","34,079","+","None",2005
"Tuesday, May 3","boxscore","WSN","@","LAD","L","2","4","None","14-13","3"," 2.5","Weaver","Rauch","Brazoban","3:02","N","41,190","-","None",2005
"Wednesday, May 4","boxscore","WSN","@","LAD","W","5","2","None","15-13","3"," 1.5","Hernandez","Perez","None","2:58","N","33,081","+","None",2005
"Friday, May 6","boxscore","WSN","@","SFG","W","9","3","None","16-13","3"," 2.0","Rauch","Lowry","None","3:08","N","40,425","++","None",2005
"Saturday, May 7","boxscore","WSN","@","SFG","W","11","8","None","17-13","3"," 2.0","Ayala","Accardo","Cordero","3:27","D","40,220","+++","None",2005
"Sunday, May 8","boxscore","WSN","@","SFG","L-wo","3","4","13","17-14","3"," 3.0","Christiansen","Rauch","None","4:00","D","36,903","-","None",2005
"Monday, May 9","boxscore","WSN","@","ARI","W","4","3","None","18-14","3"," 2.0","Hernandez","Valverde","Cordero","3:05","N","19,440","+","None",2005
"Tuesday, May 10","boxscore","WSN","@","ARI","L","2","3","None","18-15","3"," 3.0","Estes","Armas","Lyon","2:54","N","23,181","-","None",2005
"Wednesday, May 11","boxscore","WSN","@","ARI","L","2","3","None","18-16","3"," 3.0","Cormier","Rauch","Lyon","2:40","D","21,011","--","None",2005
"Friday, May 13","boxscore","WSN","None","CHC","L","3","6","None","18-17","4"," 3.0","Ohman","Ayala","Wellemeyer","3:02","N","36,585","---","None",2005
"Saturday, May 14","boxscore","WSN","None","CHC","W","4","3","None","19-17","3"," 3.0","Hernandez","Zambrano","Cordero","2:47","N","42,829","+","None",2005
"Sunday, May 15","boxscore","WSN","None","CHC","W","5","4","None","20-17","3"," 3.0","Carrasco","Bartosh","Cordero","2:40","D","44,103","++","None",2005
"Monday, May 16","boxscore","WSN","None","MIL","W","5","2","None","21-17","3"," 2.0","Armas","Davis","Ayala","2:51","N","26,606","+++","None",2005
"Tuesday, May 17","boxscore","WSN","None","MIL","L","2","8","None","21-18","3"," 2.0","Obermueller","Vargas","None","2:35","N","26,427","-","None",2005
"Wednesday, May 18","boxscore","WSN","None","MIL","W-wo","1","0","None","22-18","3"," 1.0","Majewski","Capuano","None","2:21","N","29,216","+","None",2005
"Thursday, May 19","boxscore","WSN","None","MIL","W","3","2","None","23-18","2"," 0.5","Hernandez","Santos","Cordero","2:58","D","30,968","++","None",2005
"Friday, May 20","boxscore","WSN","@","TOR","L","1","6","None","23-19","3"," 1.0","Lilly","Vargas","Walker","2:27","N","17,465","-","None",2005
"Saturday, May 21","boxscore","WSN","@","TOR","L","0","7","None","23-20","3"," 2.0","Halladay","Armas","None","2:03","D","24,518","--","None",2005
"Sunday, May 22","boxscore","WSN","@","TOR","W","9","2","None","24-20","3"," 2.0","Ohka","Towers","None","2:35","D","28,408","+","None",2005
"Monday, May 23","boxscore","WSN","@","CIN","L","3","5","None","24-21","3"," 3.0","Milton","Loaiza","Weathers","2:33","N","17,630","-","None",2005
"Tuesday, May 24","boxscore","WSN","@","CIN","L-wo","3","4","14","24-22","3"," 4.0","Keisler","Ayala","None","4:20","N","36,539","--","None",2005
"Wednesday, May 25","boxscore","WSN","@","CIN","L","3","12","None","24-23","3"," 4.0","Belisle","Vargas","None","2:59","D","20,497","---","None",2005
"Friday, May 27","boxscore","WSN","@","STL","L","3","6","None","24-24","4"," 3.5","Morris","Armas","Isringhausen","2:44","N","47,383","----","None",2005
"Saturday, May 28","boxscore","WSN","@","STL","L","1","3","None","24-25","4"," 3.5","Suppan","Loaiza","Isringhausen","2:22","N","49,123","-----","None",2005
"Sunday, May 29","boxscore","WSN","@","STL","W","3","2","None","25-25","4"," 3.5","Hernandez","Carpenter","Cordero","2:41","D","47,012","+","None",2005
"Monday, May 30","boxscore","WSN","None","ATL","W","3","2","None","26-25","3"," 2.5","Ohka","Davies","Cordero","2:43","D","39,705","++","None",2005
"Tuesday, May 31","boxscore","WSN","None","ATL","W","5","4","None","27-25","3"," 1.5","Ayala","Colon","Cordero","2:51","N","29,512","+++","None",2005
"Wednesday, Jun 1","boxscore","WSN","None","ATL","L","4","5","None","27-26","3"," 2.5","Smoltz","Carrasco","Reitsma","2:56","N","28,280","-","None",2005
"Thursday, Jun 2","boxscore","WSN","None","ATL","W","8","6","None","28-26","3"," 1.5","Carrasco","Kolb","Cordero","3:13","N","29,225","+","None",2005
"Friday, Jun 3","boxscore","WSN","None","FLA","W-wo","3","2","11","29-26","3"," 0.5","Ayala","Bump","None","3:13","N","29,439","++","None",2005
"Saturday, Jun 4","boxscore","WSN","None","FLA","W","7","3","None","30-26","2"," 0.5","Kim","Leiter","None","3:28","N","33,198","+++","None",2005
"Sunday, Jun 5","boxscore","WSN","None","FLA","W","6","3","None","31-26","1","up 0.5","Ayala","Riedling","Cordero","3:00","D","40,995","++++","None",2005
"Tuesday, Jun 7","boxscore","WSN","None","OAK","W","2","1","None","32-26","1","up 1.0","Armas","Zito","Cordero","2:54","N","26,879","+++++","None",2005
"Wednesday, Jun 8","boxscore","WSN","None","OAK","W","7","2","None","33-26","1","up 1.5","Loaiza","Glynn","None","2:54","N","28,749","++++++","None",2005
"Thursday, Jun 9","boxscore","WSN","None","OAK","W","4","3","None","34-26","1","up 1.5","Hernandez","Blanton","Cordero","2:30","N","26,672","+++++++","None",2005
"Friday, Jun 10","boxscore","WSN","None","SEA","W","9","3","None","35-26","1","up 1.5","Ayala","Hasegawa","None","3:11","N","28,707","++++++++","None",2005
"Saturday, Jun 11","boxscore","WSN","None","SEA","W","2","1","None","36-26","1","up 1.5","Patterson","Putz","Cordero","2:54","N","39,108","+++++++++","None",2005
"Sunday, Jun 12","boxscore","WSN","None","SEA","W","3","2","None","37-26","1","up 1.5","Armas","Franklin","Cordero","3:16","D","37,170","++++++++++","None",2005
"Monday, Jun 13","boxscore","WSN","@","LAA","L","1","11","None","37-27","1","up 1.0","Byrd","Loaiza","None","2:35","N","40,790","-","None",2005
"Tuesday, Jun 14","boxscore","WSN","@","LAA","W","6","3","None","38-27","1","up 2.0","Majewski","Shields","Cordero","3:30","N","43,874","+","None",2005
"Wednesday, Jun 15","boxscore","WSN","@","LAA","W","1","0","None","39-27","1","up 3.0","Drese","Colon","Cordero","2:20","N","43,505","++","None",2005
"Friday, Jun 17","boxscore","WSN","@","TEX","L","1","8","None","39-28","1","up 1.5","Rogers","Patterson","None","3:10","N","33,653","-","None",2005
"Saturday, Jun 18","boxscore","WSN","@","TEX","L","4","7","None","39-29","1","up 1.5","Rodriguez","Armas","None","2:28","N","48,663","--","None",2005
"Sunday, Jun 19","boxscore","WSN","@","TEX","W","8","2","None","40-29","1","up 2.5","Hughes","Wilson","None","2:59","D","34,474","+","None",2005
"Monday, Jun 20","boxscore","WSN","@","PIT","W","7","4","None","41-29","1","up 3.0","Hernandez","Redman","Cordero","2:40","N","21,893","++","None",2005
