Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,STL,@,ARI,L,2,6,,0-1,3,1.0,Kennedy,Wainwright,,2:46,N,48023,-,
2,Tuesday Apr 2,boxscore,STL,@,ARI,W,6,1,,1-1,2,0.5,Garcia,Cahill,,2:57,N,28356,+,
3,Wednesday Apr 3,boxscore,STL,@,ARI,L-wo,9,10,16,1-2,4,0.5,Collmenter,Salas,,5:32,N,26891,-,
4,Friday Apr 5,boxscore,STL,@,SFG,L,0,1,,1-3,3,2.0,Zito,Westbrook,Romo,2:31,D,41581,--,
5,Saturday Apr 6,boxscore,STL,@,SFG,W,6,3,,2-3,2,1.0,Miller,Vogelsong,Boggs,2:58,D,41402,+,
6,Sunday Apr 7,boxscore,STL,@,SFG,W,14,3,,3-3,2,1.0,Wainwright,Cain,,2:51,D,42201,++,
7,Monday Apr 8,boxscore,STL,,CIN,L,4,13,,3-4,2,2.0,LeCure,Boggs,,3:15,D,47345,-,
8,Tuesday Apr 9,boxscore,STL,,CIN,W,5,1,,4-4,2,1.0,Lynn,Arroyo,,2:43,N,37731,+,
9,Wednesday Apr 10,boxscore,STL,,CIN,W,10,0,,5-4,1,Tied,Westbrook,Bailey,,2:35,D,34882,++,
10,Friday Apr 12,boxscore,STL,,MIL,W,2,0,,6-4,1,up 1.0,Miller,Lohse,Boggs,2:15,N,42528,+++,
11,Saturday Apr 13,boxscore,STL,,MIL,W,8,0,,7-4,1,up 2.0,Wainwright,Gallardo,,2:39,D,44696,++++,
12,Sunday Apr 14,boxscore,STL,,MIL,L,3,4,10,7-5,1,up 1.0,Kintzler,Salas,Badenhop,3:19,D,42645,-,
13,Monday Apr 15,boxscore,STL,@,PIT,W,10,6,,8-5,1,up 2.0,Lynn,McDonald,,3:22,N,10539,+,
14,Wednesday Apr 17,boxscore,STL,@,PIT,L,0,5,,8-6,1,up 0.5,Burnett,Miller,,2:35,N,9570,-,
