team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,45,4.07,.687,162,1458,1090,12969.0,6035,4323,1604,108,140,.982,-1,0,13,1
ATL,48,5.07,.683,162,1458,1146,12972.0,5999,4324,1578,97,137,.984,-35,-3,-22,0
BAL,50,5.19,.683,162,1458,1083,12969.0,6026,4323,1609,94,175,.984,-9,-1,-19,0
BOS,49,4.12,.680,162,1458,1162,13341.0,5944,4447,1390,107,126,.982,21,2,71,1
CHC,47,4.29,.699,162,1458,921,13026.0,6093,4342,1656,95,139,.984,30,3,23,0
CHW,51,5.06,.700,162,1458,1184,12795.0,5920,4265,1541,114,157,.981,17,2,-14,0
CIN,47,5.36,.691,162,1458,1154,12870.0,5994,4290,1623,81,132,.986,-28,-3,28,0
CLE,41,3.48,.683,162,1458,1072,12966.0,5845,4322,1447,76,167,.987,43,4,34,3
COL,41,4.67,.683,162,1458,1142,12939.0,6120,4313,1730,77,168,.987,12,1,7,1
DET,48,5.52,.668,162,1458,1119,12783.0,5734,4261,1389,84,146,.985,-47,-4,-68,-1
HOU,46,4.32,.682,162,1458,1044,13014.0,5963,4338,1526,99,153,.983,-16,-1,-10,0
KCR,49,4.88,.685,162,1458,1126,12939.0,5916,4313,1524,79,145,.987,-14,-1,-41,-1
LAA,55,4.38,.700,162,1458,1125,12966.0,5864,4322,1462,80,135,.986,47,4,31,3
LAD,52,3.58,.703,162,1458,1026,13002.0,5789,4334,1367,88,131,.985,25,2,67,6
MIA,43,5.07,.691,162,1458,1165,12984.0,5955,4328,1554,73,156,.988,-9,-1,12,0
MIL,50,4.30,.684,162,1458,1035,13011.0,6076,4337,1624,115,164,.981,4,0,23,2
MIN,52,4.86,.692,162,1458,1130,12924.0,5863,4308,1477,78,143,.987,46,4,21,2
NYM,51,5.33,.667,162,1458,1125,12912.0,5852,4304,1456,92,125,.984,-66,-6,-73,-1
NYY,51,4.07,.703,162,1458,1131,13038.0,5909,4346,1468,95,102,.984,25,2,19,0
OAK,54,5.10,.686,162,1458,1111,12879.0,6011,4293,1597,121,162,.980,-41,-4,-48,-4
PHI,51,4.83,.683,162,1458,1132,12969.0,5902,4323,1497,82,145,.986,-39,-4,-56,-5
PIT,46,4.51,.679,162,1458,1074,12966.0,6083,4322,1662,99,156,.984,-26,-2,7,0
SDP,52,5.04,.683,162,1458,1080,12876.0,6016,4287,1616,113,177,.981,5,0,1,0
SEA,61,4.77,.700,162,1458,1154,12963.0,5847,4322,1422,103,147,.982,10,1,6,1
SFG,49,4.79,.679,162,1458,1081,13068.0,5965,4356,1522,87,127,.985,-18,-2,-43,-1
STL,47,4.35,.687,162,1458,1100,13053.0,6039,4351,1594,94,164,.984,22,2,33,3
TBR,53,4.35,.701,162,1458,1129,13005.0,5868,4335,1433,100,129,.983,26,2,59,5
TEX,51,5.04,.695,162,1458,1131,12909.0,6027,4303,1616,108,173,.982,50,5,-1,0
TOR,60,4.84,.682,162,1458,1073,13185.0,6057,4395,1570,92,145,.985,-28,-3,-17,0
WSN,49,4.15,.698,162,1458,1118,13020.0,5860,4340,1434,86,139,.985,-2,0,-43,-1
