Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Tuesday Apr 5,boxscore,CLE,,BOS,L,2,6,,0-1,4,1.5,Price,Kluber,,3:13,D,34493,-,2016-04-04 (Cold)
2,Wednesday Apr 6,boxscore,CLE,,BOS,W,7,6,,1-1,3,1.0,McAllister,Tazawa,Allen,3:29,N,10298,+,
3,Friday Apr 8,boxscore,CLE,@,CHW,W,7,1,,2-1,2,1.0,Salazar,Danks,,2:45,D,38019,++,
4,Saturday Apr 9,boxscore,CLE,@,CHW,L,3,7,,2-2,4,1.0,Sale,Shaw,,2:43,D,20192,-,
5,Tuesday Apr 12,boxscore,CLE,@,TBR,L,1,5,,2-3,4,2.0,Cedeno,Kluber,,2:34,N,10283,--,
6,Wednesday Apr 13,boxscore,CLE,@,TBR,W,4,1,,3-3,4,2.0,Carrasco,Smyly,Allen,2:32,N,10117,+,
7,Thursday Apr 14,boxscore,CLE,@,TBR,W,6,0,,4-3,4,2.0,Salazar,Archer,,3:20,D,10715,++,
8,Friday Apr 15,boxscore,CLE,,NYM,L,5,6,,4-4,4,3.0,Colon,Anderson,Familia,3:37,N,15365,-,
9,Saturday Apr 16,boxscore,CLE,,NYM,W,7,5,,5-4,4,2.0,Tomlin,Harvey,Allen,2:54,D,20165,+,
10,Sunday Apr 17,boxscore,CLE,,NYM,L,0,6,,5-5,4,2.0,Matz,Kluber,,2:32,D,17621,-,
11,Tuesday Apr 19,boxscore,CLE,,SEA,W,3,2,,6-5,4,2.0,Carrasco,Miley,Allen,2:56,N,9393,+,
12,Wednesday Apr 20,boxscore,CLE,,SEA,L,1,2,,6-6,4,2.5,Walker,Salazar,Cishek,2:48,N,9890,-,
13,Thursday Apr 21,boxscore,CLE,,SEA,L,7,10,10,6-7,4,3.0,Zych,Allen,Cishek,3:56,D,11525,--,
14,Friday Apr 22,boxscore,CLE,@,DET,W,2,1,,7-7,4,3.0,Tomlin,Verlander,Allen,2:46,N,25086,+,
15,Saturday Apr 23,boxscore,CLE,@,DET,W,10,1,,8-7,3,2.5,Kluber,Sanchez,,2:41,D,31163,++,
16,Sunday Apr 24,boxscore,CLE,@,DET,W,6,3,,9-7,3,2.5,Bauer,Greene,Allen,3:20,D,31947,+++,
17,Monday Apr 25,boxscore,CLE,@,MIN,L-wo,3,4,,9-8,3,3.5,Jepsen,McAllister,,3:24,N,17503,-,
18,Tuesday Apr 26,boxscore,CLE,@,MIN,L-wo,5,6,,9-9,3,4.5,Jepsen,Allen,,2:52,N,17493,--,
19,Wednesday Apr 27,boxscore,CLE,@,MIN,W,6,5,,10-9,3,4.5,Tomlin,Berrios,Allen,3:32,N,17746,+,
20,Friday Apr 29,boxscore,CLE,@,PHI,L-wo,3,4,11,10-10,4,4.0,Hernandez,Allen,,3:20,N,18677,-,
21,Saturday Apr 30,boxscore,CLE,@,PHI,L,3,4,,10-11,4,5.0,Bailey,Hunter,Gomez,3:03,N,23636,--,
22,Sunday May 1,boxscore,CLE,@,PHI,L,1,2,,10-12,4,6.0,Velasquez,Salazar,Neris,2:40,D,23809,---,
23,Tuesday May 3,boxscore,CLE,,DET,W,7,3,,11-12,4,6.0,Tomlin,Verlander,,3:12,N,11022,+,
24,Wednesday May 4,boxscore,CLE,,DET,W,4,0,,12-12,4,5.0,Kluber,Sanchez,,2:19,N,8766,++,
25,Thursday May 5,boxscore,CLE,,DET,W,9,4,,13-12,2,4.0,Bauer,Fulmer,,2:54,N,10350,+++,
26,Friday May 6,boxscore,CLE,,KCR,W,7,1,,14-12,2,4.0,Salazar,Ventura,,2:44,N,13587,++++,
27,Saturday May 7,boxscore,CLE,,KCR,L,0,7,,14-13,2,5.0,Kennedy,Anderson,,2:41,D,17302,-,
