Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,KCR,@,DET,L-wo,3,4,,0-1,4,1.0,Nathan,Davis,,3:01,D,45068,-,
2,Wednesday Apr 2,boxscore,KCR,@,DET,L-wo,1,2,10,0-2,4,2.0,Alburquerque,Collins,,3:22,D,26906,--,
3,Friday Apr 4,boxscore,KCR,,CHW,W,7,5,,1-2,4,2.0,Guthrie,Johnson,Holland,3:37,D,40103,+,
4,Saturday Apr 5,boxscore,KCR,,CHW,W,4,3,,2-2,3,2.0,Davis,Downs,Holland,2:59,D,21463,++,
5,Sunday Apr 6,boxscore,KCR,,CHW,L,1,5,,2-3,5,2.0,Sale,Shields,,2:49,D,29760,-,
6,Monday Apr 7,boxscore,KCR,,TBR,W,4,2,,3-3,2,1.5,Vargas,Moore,Holland,2:56,N,12087,+,
7,Tuesday Apr 8,boxscore,KCR,,TBR,L,0,1,,3-4,4,1.5,Peralta,Holland,Balfour,3:13,N,13905,-,
8,Wednesday Apr 9,boxscore,KCR,,TBR,W,7,3,,4-4,3,1.5,Guthrie,Odorizzi,,2:46,D,13612,+,
9,Friday Apr 11,boxscore,KCR,@,MIN,L,1,10,,4-5,3,1.5,Gibson,Chen,,3:13,N,24338,-,
10,Saturday Apr 12,boxscore,KCR,@,MIN,L,1,7,,4-6,5,2.5,Nolasco,Shields,,2:35,D,23963,--,
11,Sunday Apr 13,boxscore,KCR,@,MIN,L,3,4,,4-7,5,2.5,Fien,Crow,Perkins,2:47,D,20878,---,
12,Tuesday Apr 15,boxscore,KCR,@,HOU,W,4,2,,5-7,5,2.0,Ventura,Harrell,Holland,2:45,N,29778,+,
13,Wednesday Apr 16,boxscore,KCR,@,HOU,W,6,4,11,6-7,4,1.0,Duffy,Williams,Holland,4:05,N,23043,++,
14,Thursday Apr 17,boxscore,KCR,@,HOU,W,5,1,,7-7,3,1.0,Shields,Feldman,,2:37,N,26333,+++,
15,Friday Apr 18,boxscore,KCR,,MIN,W,5,0,,8-7,1,Tied,Vargas,Nolasco,,2:39,N,21192,++++,
16,Saturday Apr 19,boxscore,KCR,,MIN,W,5,4,,9-7,1,Tied,Chen,Correia,Holland,2:54,D,24291,+++++,
17,Sunday Apr 20,boxscore,KCR,,MIN,L,3,8,,9-8,2,1.0,Hughes,Ventura,,3:08,D,17710,-,
18,Monday Apr 21,boxscore,KCR,@,CLE,L,3,4,,9-9,2,1.0,McAllister,Guthrie,Axford,2:37,N,10789,--,
19,Tuesday Apr 22,boxscore,KCR,@,CLE,W,8,2,,10-9,2,1.0,Shields,Salazar,,3:34,N,8848,+,
20,Wednesday Apr 23,boxscore,KCR,@,CLE,L,3,5,,10-10,2,1.0,Shaw,Herrera,Axford,3:05,N,9311,-,
21,Thursday Apr 24,boxscore,KCR,@,CLE,L,1,5,,10-11,4,2.0,Kluber,Chen,,2:15,D,10440,--,
22,Friday Apr 25,boxscore,KCR,@,BAL,W,5,0,,11-11,2,2.0,Ventura,Jimenez,,2:40,N,22478,+,
23,Saturday Apr 26,boxscore,KCR,@,BAL,L-wo,2,3,10,11-12,3,2.0,Britton,Duffy,,3:09,N,34941,-,
24,Sunday Apr 27,boxscore,KCR,@,BAL,W,9,3,,12-12,3,1.5,Shields,Gonzalez,,3:08,D,38368,+,
25,Tuesday Apr 29,boxscore,KCR,,TOR,W,10,7,,13-12,2,1.5,Crow,Cecil,,3:08,N,10705,++,
26,Wednesday Apr 30,boxscore,KCR,,TOR,W,4,2,,14-12,2,1.5,Herrera,Hutchison,Holland,2:59,N,11715,+++,
27,Thursday May 1,boxscore,KCR,,TOR,L,3,7,,14-13,2,2.0,Buehrle,Guthrie,Loup,2:35,N,11207,-,
28,Friday May 2,boxscore,KCR,,DET,L,2,8,,14-14,2,3.0,Porcello,Shields,,2:41,N,28021,--,
29,Saturday May 3,boxscore,KCR,,DET,L,2,9,,14-15,2,4.0,Smyly,Duffy,,2:55,N,29200,---,
30,Sunday May 4,boxscore,KCR,,DET,L,4,9,,14-16,3,5.0,Verlander,Vargas,,3:11,D,22504,----,
31,Monday May 5,boxscore,KCR,@,SDP,L-wo,5,6,12,14-17,4,6.0,Stauffer,Collins,,3:57,N,14089,-----,
32,Tuesday May 6,boxscore,KCR,@,SDP,W,3,1,11,15-17,4,6.0,Davis,Vincent,Holland,3:03,N,16542,+,
33,Wednesday May 7,boxscore,KCR,@,SDP,W,8,0,,16-17,3,6.0,Shields,Cashner,,3:09,D,18228,++,
34,Thursday May 8,boxscore,KCR,@,SEA,L,0,1,,16-18,3,6.0,Iwakuma,Duffy,Rodney,2:25,N,12577,-,
35,Friday May 9,boxscore,KCR,@,SEA,W,6,1,,17-18,3,5.0,Vargas,Maurer,,2:45,N,20858,+,
36,Saturday May 10,boxscore,KCR,@,SEA,L,1,3,,17-19,3,6.0,Young,Ventura,Rodney,2:18,N,29359,-,
37,Sunday May 11,boxscore,KCR,@,SEA,W,9,7,,18-19,2,5.0,Coleman,Farquhar,Holland,3:01,D,30447,+,
38,Tuesday May 13,boxscore,KCR,,COL,W,5,1,,19-19,2,5.5,Shields,Morales,,2:50,N,15914,++,
39,Wednesday May 14,boxscore,KCR,,COL,W,3,2,,20-19,2,5.5,Vargas,Chacin,Holland,2:34,D,27323,+++,
40,Thursday May 15,boxscore,KCR,,BAL,L,1,2,,20-20,2,6.0,Chen,Ventura,Britton,2:56,N,12455,-,
41,Friday May 16,boxscore,KCR,,BAL,L,0,4,,20-21,3,7.0,Tillman,Guthrie,,2:22,N,25985,--,
42,Saturday May 17,boxscore,KCR,,BAL,W,1,0,,21-21,3,7.0,Duffy,Norris,Holland,2:37,N,24064,+,
43,Sunday May 18,boxscore,KCR,,BAL,W,8,6,,22-21,2,7.0,Shields,Jimenez,Holland,2:58,D,22692,++,
44,Monday May 19,boxscore,KCR,,CHW,L,6,7,,22-22,2,7.0,Putnam,Vargas,Petricka,3:16,N,16462,-,
45,Tuesday May 20,boxscore,KCR,,CHW,L,6,7,,22-23,3,7.0,Rienzo,Ventura,Belisario,3:19,N,14900,--,
46,Wednesday May 21,boxscore,KCR,,CHW,W,3,1,,23-23,3,6.0,Davis,Quintana,Holland,2:41,N,17576,+,
47,Friday May 23,boxscore,KCR,@,LAA,L,1,6,,23-24,4,6.5,Wilson,Duffy,,2:51,N,35082,-,
48,Saturday May 24,boxscore,KCR,@,LAA,W,7,4,13,24-24,2,5.5,Crow,Morin,Holland,4:53,D,42140,+,
49,Sunday May 25,boxscore,KCR,@,LAA,L,3,4,,24-25,2,5.5,Kohn,Collins,Frieri,3:04,D,36114,-,
50,Monday May 26,boxscore,KCR,,HOU,L,2,9,,24-26,3,5.5,Feldman,Ventura,,3:23,N,32070,--,
51,Tuesday May 27,boxscore,KCR,,HOU,L,0,3,,24-27,4,6.5,McHugh,Guthrie,,3:02,N,17826,---,
52,Wednesday May 28,boxscore,KCR,,HOU,L,3,9,,24-28,4,6.5,Cosart,Duffy,,3:21,D,16220,----,
53,Thursday May 29,boxscore,KCR,@,TOR,W,8,6,10,25-28,3,6.5,Davis,Redmond,Holland,3:26,N,17978,+,
54,Friday May 30,boxscore,KCR,@,TOR,W,6,1,,26-28,3,6.5,Vargas,Happ,,3:01,N,21543,++,
55,Saturday May 31,boxscore,KCR,@,TOR,L,2,12,,26-29,3,6.5,Stroman,Brooks,Redmond,2:53,D,31652,-,
56,Sunday Jun 1,boxscore,KCR,@,TOR,L,0,4,,26-30,5,6.5,Buehrle,Guthrie,,2:14,D,38008,--,
57,Monday Jun 2,boxscore,KCR,@,STL,W,6,0,,27-30,4,6.0,Duffy,Miller,,2:41,N,41239,+,
58,Tuesday Jun 3,boxscore,KCR,@,STL,W,8,7,,28-30,4,5.0,Davis,Rosenthal,Holland,3:12,N,41192,++,
59,Wednesday Jun 4,boxscore,KCR,,STL,L,2,5,11,28-31,5,5.0,Freeman,Herrera,Neshek,3:46,N,22126,-,
60,Thursday Jun 5,boxscore,KCR,,STL,W,3,2,,29-31,4,4.0,Ventura,Wacha,Holland,2:26,N,24438,+,
61,Friday Jun 6,boxscore,KCR,,NYY,L,2,4,,29-32,4,5.0,Whitley,Guthrie,Robertson,2:51,N,23418,-,
62,Saturday Jun 7,boxscore,KCR,,NYY,W,8,4,,30-32,4,5.0,Crow,Phelps,,3:10,N,26991,+,
63,Sunday Jun 8,boxscore,KCR,,NYY,W,2,1,,31-32,3,4.0,Shields,Kuroda,Holland,2:48,D,24614,++,
64,Tuesday Jun 10,boxscore,KCR,,CLE,W,9,5,,32-32,3,3.0,Vargas,Kluber,Crow,3:00,N,25540,+++,
65,Wednesday Jun 11,boxscore,KCR,,CLE,W,4,1,,33-32,2,2.0,Ventura,Bauer,Holland,2:53,D,19938,++++,
66,Friday Jun 13,boxscore,KCR,@,CHW,W,7,2,,34-32,2,1.5,Guthrie,Quintana,,3:22,N,22773,+++++,
67,Saturday Jun 14,boxscore,KCR,@,CHW,W,9,1,,35-32,2,1.5,Duffy,Noesi,,3:03,D,24527,++++++,
68,Sunday Jun 15,boxscore,KCR,@,CHW,W,6,3,,36-32,2,1.5,Shields,Rienzo,Holland,3:10,D,29152,+++++++,
69,Monday Jun 16,boxscore,KCR,@,DET,W,11,8,,37-32,2,0.5,Vargas,Verlander,,3:26,N,31774,++++++++,
70,Tuesday Jun 17,boxscore,KCR,@,DET,W,11,4,,38-32,1,up 0.5,Ventura,Scherzer,,3:14,N,34328,+++++++++,
71,Wednesday Jun 18,boxscore,KCR,@,DET,W,2,1,,39-32,1,up 1.5,Guthrie,Smyly,Holland,2:53,D,37209,++++++++++,
72,Thursday Jun 19,boxscore,KCR,@,DET,L,1,2,,39-33,1,up 0.5,Sanchez,Duffy,Nathan,2:27,D,35715,-,2014-04-03 (Rain)
73,Friday Jun 20,boxscore,KCR,,SEA,L,5,7,,39-34,2,0.5,Furbush,Holland,Rodney,3:31,N,38475,--,
74,Saturday Jun 21,boxscore,KCR,,SEA,L,1,2,,39-35,2,1.5,Medina,Vargas,Rodney,2:42,D,21640,---,
75,Sunday Jun 22,boxscore,KCR,,SEA,L,1,2,,39-36,2,2.5,Elias,Ventura,Rodney,2:54,D,23278,----,
76,Monday Jun 23,boxscore,KCR,,LAD,W,5,3,,40-36,2,2.0,Guthrie,Greinke,Holland,2:46,N,21615,+,
77,Tuesday Jun 24,boxscore,KCR,,LAD,L,0,2,,40-37,2,3.0,Kershaw,Duffy,Jansen,3:02,N,28302,-,
